setting_id,scenario,n,delta,local_c,censoring,censor_u,defier_rate,finite_jump,theorem_valid,seed_group,true_effect,reps,wald_coverage,score_coverage,wald_mean_length,wald_median_length,wald_p90_length,wald_p95_length,wald_p99_length,score_mean_length,score_median_length,score_p90_length,score_full_set,score_disconnected,score_empty,mean_first_stage,sd_first_stage,first_stage_near_zero,realized_censoring,cause1_event_rate,ratio_bias,ratio_rmse,ratio_median_abs_error,score_coverage_mcse,wald_coverage_mcse
24,local_to_zero,5000,0.03975829539845333,2.0,0.3,0.0,0.0,True,True,24,-0.09649172685174347,5000,0.9946,0.9482,203.18394515022345,2.02145291012104,6.424294305829923,13.281737985788268,261.90350699594893,1.644876732396745,1.7874361865804205,2.0,0.4284,0.0044,0.0004,0.0284164567121746,0.013300909612249475,0.0808,0.29996424,0.28269624000000004,-0.14901673861082687,8.101440026092247,0.3540107577776492,0.0031342227106573,0.001036420763975709
25,local_to_zero,500,0.25145353868980846,4.0,0.3,0.0,0.0,True,True,25,-0.09649172685174347,5000,0.9778,0.9548,1.0534117123913125,0.9564252164762206,1.4537008404770584,1.703285460308014,2.579391834017992,1.0985951693143527,1.0388838802291758,1.51932407252819,0.0268,0.0,0.0,0.17872346417723214,0.04386994529297002,0.0,0.300268,0.2755388,-0.006324460728656129,0.2674892104926605,0.16052453282996942,0.0029379230759160463,0.002083610328252382
26,local_to_zero,1000,0.1778045023609175,4.0,0.3,0.0,0.0,True,True,26,-0.09649172685174347,5000,0.973,0.9476,1.039236310895011,0.9589624522673124,1.416462008026398,1.629094341919854,2.3228943675359055,1.0988955821404238,1.0422278617220797,1.498273535229857,0.0216,0.0,0.0,0.12665485334159252,0.029349512912159155,0.0,0.29996480000000003,0.2777558,-0.006390002306359795,0.2655264541426189,0.16126609220008528,0.003151324800778238,0.002292204179387169
27,local_to_zero,2500,0.11245344113865705,4.0,0.3,0.0,0.0,True,True,27,-0.09649172685174347,5000,0.9708,0.949,1.0573527976037604,0.9607398096001566,1.4415251352450988,1.6677344098721503,2.4158502387019163,1.0943258770012183,1.0393955233724423,1.4935066902295846,0.0212,0.0,0.0,0.08011843845051854,0.018941845759122927,0.0002,0.30014928,0.28009096,-0.00965391090548755,0.27250868791766386,0.1623120831353368,0.0031112376958374634,0.0023810653077981714
28,local_to_zero,5000,0.07951659079690666,4.0,0.3,0.0,0.0,True,True,28,-0.09649172685174347,5000,0.9744,0.9522,1.0428230295796004,0.9660603109249601,1.4303348073329225,1.6391489239761141,2.191269321094367,1.0991686153720397,1.043439564889242,1.4954796390627059,0.0216,0.0,0.0,0.056550625741022716,0.01324418059517004,0.0,0.30019932,0.28127988,-0.005360043112972226,0.26317832485215475,0.1623075489811078,0.0030171231330524103,0.0022335908309267373
29,severe_censoring,500,0.15,,0.5,0.0,0.0,True,True,29,-0.09649172685174347,2000,0.9935,0.9455,214.2966770318332,1.7701833139857963,4.318497435723924,6.94305736046682,83.05092701369522,1.5800988138253536,1.599068773951739,2.0,0.3265,0.0025,0.0,0.10763373988067397,0.043306342080100535,0.0115,0.499923,0.27901399999999993,-0.35746261047722816,9.745117272663661,0.293239179421525,0.005075911248239078,0.0017969070649312877
30,severe_censoring,500,0.15,,0.65,0.0,0.0,True,True,30,-0.09649172685174347,2000,0.9895,0.945,25.910308182098824,1.9416277246780933,4.489118311487738,7.17436001454999,63.874672792230214,1.6212255533260327,1.6843735594333076,2.0,0.3595,0.0015,0.0,0.10641084339863317,0.04268279545626549,0.009,0.6497920000000001,0.279846,-0.012270993895271295,2.6163964984812456,0.3173041861733915,0.005097793640389931,0.0022792268425937726
31,severe_censoring,1000,0.15,,0.5,0.0,0.0,True,True,31,-0.09649172685174347,2000,0.981,0.9455,1.4419295125438039,1.234722900989794,2.052165564285775,2.598814386006399,4.204169072973652,1.3198933946473494,1.2605765092569232,1.8706778561025434,0.081,0.0005,0.0,0.10582907360332691,0.029318615676025367,0.0005,0.500287,0.27900300000000006,-0.004413561976344723,0.3817388383327318,0.2264618776620553,0.005075911248239078,0.0030527856131736483
32,severe_censoring,1000,0.15,,0.65,0.0,0.0,True,True,32,-0.09649172685174347,2000,0.979,0.9405,1.6018231740358093,1.3287737908357473,2.2857631645888183,2.8094949879992197,5.168547002119638,1.3680312764207145,1.312995715639929,2.0,0.1045,0.0,0.0,0.10605135555791066,0.029724060500471085,0.0005,0.6502795,0.2788365,-0.018881251161809255,0.4354260496026626,0.23450811061578164,0.005289600646551685,0.00320616593457045
33,tie_ablation_correct,500,0.15,,0.3,0.0,0.0,True,True,6015,-0.09649172685174347,2000,0.993,0.953,3.606781812992366,1.6907486467079245,4.091704836092928,6.7203632394068356,32.789215081668445,1.5762442608777643,1.580605683446834,2.0,0.3315,0.004,0.0,0.10588229737532555,0.041921692524736286,0.006,0.300795,0.27932199999999996,-0.019740003660686505,0.7948599325879728,0.2827296294101643,0.004732388403332932,0.0018642692938521525
34,tie_ablation_naive,500,0.15,,0.3,0.0,0.0,False,False,6015,-0.09649172685174347,2000,0.9945,0.9555,3.6254625736503994,1.7065998950442016,4.113449203694134,6.766509404498528,32.87833003712534,1.5840212460552932,1.5946398062460196,2.0,0.3355,0.0035,0.0,0.10588229737532555,0.041921692524736286,0.006,0.300795,0.27932199999999996,-0.019740003660686505,0.7948599325879728,0.2827296294101643,0.004610843198374891,0.0016537457482938467
35,tie_ablation_correct,500,0.35,,0.3,0.0,0.0,True,True,6035,-0.09649172685174347,2000,0.9695,0.9555,0.6987320177861994,0.672866423037965,0.8773852026811185,0.9539516101094545,1.1461391211100123,0.7470236317845022,0.7140402245256068,0.9624487554195165,0.0,0.0,0.0,0.24982586145317767,0.041533649889040875,0.0,0.300296,0.27148700000000003,-0.0045453643055964965,0.1736890505472019,0.11476838646350063,0.004610843198374891,0.0038451105315712303
36,tie_ablation_naive,500,0.35,,0.3,0.0,0.0,False,False,6035,-0.09649172685174347,2000,0.971,0.957,0.7055700310198935,0.6795664164009405,0.8864518066869931,0.9642112439063404,1.157847020357903,0.7541454695218724,0.7207710715502462,0.9714727416088552,0.0,0.0,0.0,0.24982586145317767,0.041533649889040875,0.0,0.300296,0.27148700000000003,-0.0045453643055964965,0.1736890505472019,0.11476838646350063,0.004536022486716751,0.0037522659820433853
37,tie_ablation_correct,1000,0.15,,0.3,0.0,0.0,True,True,11015,-0.09649172685174347,2000,0.982,0.952,1.3699209151428007,1.148345483254211,1.8966447519492207,2.317335829591187,4.356520525797294,1.279382328856022,1.216380470239888,1.8742954525337845,0.0805,0.0005,0.0,0.10658464327485107,0.029929610743964677,0.0005,0.29985049999999996,0.27883749999999996,-0.004488522651539994,0.3709269313403387,0.2006882309915769,0.004779958158812692,0.002972877394041
38,tie_ablation_naive,1000,0.15,,0.3,0.0,0.0,False,False,11015,-0.09649172685174347,2000,0.983,0.9545,1.3819558347824519,1.1599889686644167,1.9133566770925778,2.341755261720375,4.378013149428558,1.2884490681329517,1.226771409580925,1.8868630941032576,0.0825,0.0005,0.0,0.10658464327485107,0.029929610743964677,0.0005,0.29985049999999996,0.27883749999999996,-0.004488522651539994,0.3709269313403387,0.2006882309915769,0.004659922209651143,0.0028905881754411173
39,tie_ablation_correct,1000,0.35,,0.3,0.0,0.0,True,True,11035,-0.09649172685174347,2000,0.9525,0.946,0.48414851555762084,0.475702992337434,0.5660321787351501,0.5961255280161633,0.678033800485231,0.5000535876587072,0.48972602234284723,0.5907244424523326,0.0,0.0,0.0,0.2491952206529585,0.029463022912610545,0.0,0.2996895,0.2715265,0.004944506645271713,0.12636434357568987,0.08520542359039858,0.005053909377897473,0.00475624589355933
40,tie_ablation_naive,1000,0.35,,0.3,0.0,0.0,False,False,11035,-0.09649172685174347,2000,0.9555,0.947,0.48886343259719295,0.4806588326671387,0.5715868570974458,0.6016758842415919,0.6842576869144763,0.5049144561043218,0.4945593164753722,0.5966782653754114,0.0,0.0,0.0,0.2491952206529585,0.029463022912610545,0.0,0.2996895,0.2715265,0.004944506645271713,0.12636434357568987,0.08520542359039858,0.005009540897128201,0.004610843198374891
41,informative_censoring,1000,0.15,,0.3,0.5,0.0,True,False,41,-0.09649172685174347,2000,0.9815,0.952,10.92162583473019,1.141024248354583,1.898582500146209,2.3157827167400127,4.853628862266361,1.2757743448171255,1.2083838333412493,1.88610962473639,0.087,0.0005,0.0,0.10712702688617282,0.030462446504277315,0.0015,0.317346,0.27835650000000006,-0.04205931297866693,1.4807228131939483,0.18824354109960043,0.004779958158812692,0.003013117156700015
42,informative_censoring,1000,0.15,,0.3,1.0,0.0,True,False,42,-0.09649172685174347,2000,0.986,0.949,1.3544776258249203,1.15205495860817,1.9258774063897708,2.3410236163197573,3.708826729740769,1.2677582626494956,1.2051370190975557,1.8474101688782172,0.0765,0.0005,0.0,0.10708043999267543,0.029942823306827123,0.0,0.35354199999999997,0.279236,-0.015307582753011728,0.3609074388123213,0.20265132901370497,0.004919298730510276,0.0026271657732240663
43,defiers,1000,0.15,,0.3,0.0,0.1,True,False,43,-0.09649172685174347,2000,0.987,0.952,8.09091055187369,1.471722620035902,2.9239782631891145,4.031658430365784,21.792145462028493,1.4891646983454165,1.4499431473660573,2.0,0.216,0.002,0.0,0.08492026350880136,0.029626456388229912,0.009,0.3002285,0.27931150000000005,-0.02439120183120829,1.1920935724294806,0.24641071356186106,0.004779958158812692,0.0025328837320335107
44,defiers,1000,0.15,,0.3,0.0,0.25,True,False,44,-0.09649172685174347,2000,0.9965,0.953,26133.35869212262,2.4509672956956887,12.041150457954073,36.278390851052016,910.4132438080735,1.7306120399009646,2.0,2.0,0.56,0.0085,0.0005,0.05413753230611701,0.029787198254649972,0.056,0.30030199999999996,0.2787455,-1.7210557735753604,79.79439136699182,0.4029684505382865,0.004732388403332932,0.0013205585939290896
